run_id,case,idx,rm,dt,T,dT,Gexp,Gimpl
tb_run,Random,358,1,0,-95,43,30,30
tb_run,Random,359,1,0,69,-104,0,0
tb_run,Random,360,1,0,-20,-108,0,0
tb_run,Random,361,1,0,82,-125,0,0
tb_run,Random,362,1,0,-68,-90,100,100
tb_run,Random,363,1,0,-73,-94,100,100
tb_run,Random,364,1,0,-115,121,0,0
tb_run,Random,365,1,0,75,4,50,50
tb_run,Random,366,1,0,83,71,0,0
tb_run,Random,367,1,0,-55,83,0,0
tb_run,Random,368,1,0,3,-73,54,54
tb_run,Random,369,1,0,106,79,0,0
tb_run,Random,370,1,0,80,64,0,0
tb_run,Random,371,1,0,107,-102,0,0
tb_run,Random,372,1,0,107,-16,80,80
tb_run,Random,373,1,0,71,-52,80,80
tb_run,Random,374,1,0,88,-119,0,0
tb_run,Random,375,1,0,-11,-13,75,75
tb_run,Random,376,1,0,20,84,0,0
tb_run,Random,377,1,0,-122,-47,100,100
tb_run,Random,378,1,0,37,-101,0,0
tb_run,Random,379,1,0,-117,-3,50,50
tb_run,Random,380,1,0,-88,30,30,30
tb_run,Random,381,1,0,-55,-47,100,100
tb_run,Random,382,1,0,73,3,50,50
tb_run,Random,383,1,0,84,96,0,0
tb_run,Random,384,1,0,-65,102,0,0
tb_run,Random,385,1,0,11,-42,66,66
tb_run,Random,386,1,0,51,125,0,0
tb_run,Random,387,1,0,-77,113,0,0
tb_run,Random,388,1,0,-49,34,30,30
tb_run,Random,389,1,0,53,79,0,0
tb_run,Random,390,1,0,-52,18,30,30
tb_run,Random,391,1,0,-20,92,0,0
tb_run,Random,392,1,0,109,90,0,0
tb_run,Random,393,1,0,105,-124,0,0
tb_run,Random,394,1,0,22,-31,80,80
tb_run,Random,395,1,0,-62,26,30,30
